species,species_short,BA_seen_mean,BA_seen_std,BA_unseen_mean,BA_unseen_std,DSG_mean,DSG_std
Aedes aegypti,Ae.aeg,0.91205,0.012003,0.045833,0.094866,0.866216,0.100104
Aedes albopictus,Ae.alb,0.86127,0.022291,0.063484,0.048092,0.797786,0.065922
Culex quinquefasciatus,Cx.qui,0.956413,0.014612,0.001042,0.002666,0.955371,0.014469
Anopheles gambiae,An.gam,0.898248,0.024939,0.000122,0.000367,0.898126,0.025056
Anopheles arabiensis,An.ara,0.725342,0.039932,0.002473,0.004817,0.72287,0.039188
Anopheles dirus,An.dir,,,0.0,0.0,,
Culex pipiens,Cx.pip,0.930169,0.017046,0.804412,0.034832,0.125757,0.036743
Anopheles minimus,An.min,,,0.238384,0.069278,,
Anopheles stephensi,An.ste,,,0.42027,0.140884,,
